,product_id,composition,color_name,size,fit,stlye_id,color_id,scrapy_datetime
0,1008549007," Cotton 99%, Spandex 1%",Light gray,,Regular fit,1008549,007,2022-05-14-20-09:02
1,1008549007,Pocket: Cotton 100%,Light gray,,Regular fit,1008549,007,2022-05-14-20-09:02
2,1008549007,Pocket: Cotton 100%,Light gray,,Regular fit,1008549,007,2022-05-14-20-09:02
3,1008549007,Pocket: Cotton 100%,Light gray,,Regular fit,1008549,007,2022-05-14-20-09:02
4,1008549007,Pocket: Cotton 100%,Light gray,,Regular fit,1008549,007,2022-05-14-20-09:02
5,1008549007,Pocket: Cotton 100%,Light gray,,Regular fit,1008549,007,2022-05-14-20-09:02
0,1008549006," Cotton 99%, Spandex 1%",Black,,Regular fit,1008549,006,2022-05-14-20-09:02
1,1008549006,Pocket: Cotton 100%,Black,,Regular fit,1008549,006,2022-05-14-20-09:02
2,1008549006,Pocket: Cotton 100%,Black,,Regular fit,1008549,006,2022-05-14-20-09:02
3,1008549006,Pocket: Cotton 100%,Black,,Regular fit,1008549,006,2022-05-14-20-09:02
4,1008549006,Pocket: Cotton 100%,Black,,Regular fit,1008549,006,2022-05-14-20-09:02
5,1008549006,Pocket: Cotton 100%,Black,,Regular fit,1008549,006,2022-05-14-20-09:02
6,1008549006,Pocket: Cotton 100%,Black,,Regular fit,1008549,006,2022-05-14-20-09:02
0,1008549004," Cotton 99%, Spandex 1%",Dark blue,,Regular fit,1008549,004,2022-05-14-20-09:02
1,1008549004," Polyester 63%, Cotton 37%",Dark blue,,Regular fit,1008549,004,2022-05-14-20-09:02
2,1008549004," Polyester 63%, Cotton 37%",Dark blue,,Regular fit,1008549,004,2022-05-14-20-09:02
3,1008549004," Polyester 63%, Cotton 37%",Dark blue,,Regular fit,1008549,004,2022-05-14-20-09:02
4,1008549004," Polyester 63%, Cotton 37%",Dark blue,,Regular fit,1008549,004,2022-05-14-20-09:02
5,1008549004," Polyester 63%, Cotton 37%",Dark blue,,Regular fit,1008549,004,2022-05-14-20-09:02
0,1008549003," Cotton 99%, Spandex 1%",Dark gray,,Regular fit,1008549,003,2022-05-14-20-09:02
1,1008549003," Polyester 65%, Cotton 35%",Dark gray,,Regular fit,1008549,003,2022-05-14-20-09:02
2,1008549003," Polyester 65%, Cotton 35%",Dark gray,,Regular fit,1008549,003,2022-05-14-20-09:02
3,1008549003," Polyester 65%, Cotton 35%",Dark gray,,Regular fit,1008549,003,2022-05-14-20-09:02
4,1008549003," Polyester 65%, Cotton 35%",Dark gray,,Regular fit,1008549,003,2022-05-14-20-09:02
5,1008549003," Polyester 65%, Cotton 35%",Dark gray,,Regular fit,1008549,003,2022-05-14-20-09:02
6,1008549003," Polyester 65%, Cotton 35%",Dark gray,,Regular fit,1008549,003,2022-05-14-20-09:02
0,1008549002," Cotton 99%, Spandex 1%",Denim blue,,Regular fit,1008549,002,2022-05-14-20-09:02
1,1008549002," Polyester 65%, Cotton 35%",Denim blue,,Regular fit,1008549,002,2022-05-14-20-09:02
2,1008549002," Polyester 65%, Cotton 35%",Denim blue,,Regular fit,1008549,002,2022-05-14-20-09:02
3,1008549002," Polyester 65%, Cotton 35%",Denim blue,,Regular fit,1008549,002,2022-05-14-20-09:02
4,1008549002," Polyester 65%, Cotton 35%",Denim blue,,Regular fit,1008549,002,2022-05-14-20-09:02
5,1008549002," Polyester 65%, Cotton 35%",Denim blue,,Regular fit,1008549,002,2022-05-14-20-09:02
6,1008549002," Polyester 65%, Cotton 35%",Denim blue,,Regular fit,1008549,002,2022-05-14-20-09:02
0,1008549001," Cotton 98%, Spandex 2%",Light denim blue,,Regular fit,1008549,001,2022-05-14-20-09:02
1,1008549001," Polyester 65%, Cotton 35%",Light denim blue,,Regular fit,1008549,001,2022-05-14-20-09:02
2,1008549001," Polyester 65%, Cotton 35%",Light denim blue,,Regular fit,1008549,001,2022-05-14-20-09:02
3,1008549001," Polyester 65%, Cotton 35%",Light denim blue,,Regular fit,1008549,001,2022-05-14-20-09:02
4,1008549001," Polyester 65%, Cotton 35%",Light denim blue,,Regular fit,1008549,001,2022-05-14-20-09:02
5,1008549001," Polyester 65%, Cotton 35%",Light denim blue,,Regular fit,1008549,001,2022-05-14-20-09:02
6,1008549001," Polyester 65%, Cotton 35%",Light denim blue,,Regular fit,1008549,001,2022-05-14-20-09:02
7,1008549001," Polyester 65%, Cotton 35%",Light denim blue,,Regular fit,1008549,001,2022-05-14-20-09:02
0,1008549008," Cotton 99%, Spandex 1%",Light denim blue,,Regular fit,1008549,008,2022-05-14-20-09:02
1,1008549008," Polyester 65%, Cotton 35%",Light denim blue,,Regular fit,1008549,008,2022-05-14-20-09:02
2,1008549008," Polyester 65%, Cotton 35%",Light denim blue,,Regular fit,1008549,008,2022-05-14-20-09:02
3,1008549008," Polyester 65%, Cotton 35%",Light denim blue,,Regular fit,1008549,008,2022-05-14-20-09:02
4,1008549008," Polyester 65%, Cotton 35%",Light denim blue,,Regular fit,1008549,008,2022-05-14-20-09:02
